,customerid,churn_probability,Classification
5494,8837-VVWLQ,1.0,High-risky
5495,2696-NARTR,0.98,High-risky
5496,2208-NKVVH,0.01,Non-risky
5497,7614-QVWQL,0.09,Non-risky
5498,1976-CFOCS,1.0,High-risky
5499,4631-OACRM,0.99,High-risky
5500,7139-JZFVG,0.03,Non-risky
5501,4987-GQWPO,0.71,Risky
5502,3755-JBMNH,0.98,High-risky
5503,1757-TCATG,0.0,Non-risky
5504,6345-ULYRW,0.5,Risky
5505,4776-XSKYQ,0.33,Non-risky
5506,8048-DSDFQ,0.98,High-risky
5507,5753-QQWPW,0.05,Non-risky
5508,6010-DDPPW,0.0,Non-risky
5509,1809-DMJHQ,0.86,High-risky
5510,6693-FRIRW,0.98,High-risky
5511,6586-MYGKD,0.09,Non-risky
5512,3173-NVMPX,0.15,Non-risky
5513,0248-PGHBZ,0.08,Non-risky
5514,0623-GDISB,0.65,Risky
5515,2892-GESUL,0.0,Non-risky
5516,6923-EFPNL,0.92,High-risky
5517,7472-EQOAV,0.03,Non-risky
5518,9574-RKJIF,0.84,High-risky
5519,2043-WVTQJ,0.49,Non-risky
5520,8034-RYTVV,0.04,Non-risky
5521,3863-QSTYI,0.07,Non-risky
5522,2619-WFQWU,1.0,High-risky
5523,5044-LRQAQ,1.0,High-risky
5524,1716-LSAMB,0.01,Non-risky
5525,1333-PBMXB,0.0,Non-risky
5526,6546-OPBBH,0.0,Non-risky
5527,5985-BEHZK,0.42,Non-risky
5528,9127-QRZMH,0.08,Non-risky
5529,5919-VCZYM,0.01,Non-risky
5530,9644-KVCNC,0.24,Non-risky
5531,2137-DQMEV,0.04,Non-risky
5532,8174-LNWMW,0.0,Non-risky
5533,9279-CJEOJ,0.92,High-risky
5534,7964-VEXDG,0.86,High-risky
5535,2404-JIBFC,0.01,Non-risky
5536,0778-NELLA,0.88,High-risky
5537,8029-XYPWT,0.01,Non-risky
5538,4614-NUVZD,1.0,High-risky
5539,4632-PAOYU,0.0,Non-risky
5540,3803-KMQFW,0.77,Risky
5541,6804-GDMOI,0.43,Non-risky
5542,2990-OGYTD,0.0,Non-risky
5543,6646-JPPHA,0.9,High-risky
5544,9572-MTILT,0.54,Risky
5545,7658-UYUQS,0.18,Non-risky
5546,7880-XSOJX,0.74,Risky
5547,9611-CTWIH,1.0,High-risky
5548,4589-IUAJB,0.0,Non-risky
5549,0329-GTIAJ,0.98,High-risky
5550,8746-BFOAJ,0.0,Non-risky
5551,8457-XIGKN,0.0,Non-risky
5552,6072-NUQCB,0.0,Non-risky
5553,6629-CZTTH,1.0,High-risky
5554,8838-GPHZP,0.0,Non-risky
5555,8750-QWZAJ,0.0,Non-risky
5556,5364-EVNIB,1.0,High-risky
5557,6918-UMQCG,1.0,High-risky
5558,0675-NCDYU,0.0,Non-risky
5559,6339-DKLMK,0.84,High-risky
5560,1346-PJWTK,0.09,Non-risky
5561,5088-QZLRL,0.4,Non-risky
5562,8023-QHAIO,0.13,Non-risky
5563,4397-FRLTA,0.02,Non-risky
5564,3057-VJJQE,0.01,Non-risky
5565,5087-SUURX,0.95,High-risky
5566,2302-OUZXB,0.03,Non-risky
5567,8133-ANHHJ,0.19,Non-risky
5568,2270-CHBFN,0.19,Non-risky
5569,0013-EXCHZ,0.96,High-risky
5570,5982-FPVQN,0.89,High-risky
5571,9107-UKCKY,0.13,Non-risky
5572,4654-ULTTN,0.0,Non-risky
5573,5550-VFRLC,1.0,High-risky
5574,5546-BYZSM,0.04,Non-risky
5575,1492-KGETH,0.1,Non-risky
5576,4929-BSTRX,0.98,High-risky
5577,4163-HFTUK,0.01,Non-risky
5578,8215-NGSPE,0.0,Non-risky
5579,2225-ZRGSG,0.01,Non-risky
5580,8859-YSTWS,0.0,Non-risky
5581,5271-YNWVR,0.01,Non-risky
5582,7601-DHFWZ,0.01,Non-risky
5583,2657-ALMWY,0.92,High-risky
5584,6330-JKLPC,1.0,High-risky
5585,4667-OHGKG,0.63,Risky
5586,1998-VHJHK,0.0,Non-risky
5587,1707-HABPF,0.1,Non-risky
5588,1660-HSOOQ,0.99,High-risky
5589,7253-UVNDW,0.07,Non-risky
5590,0487-VVUVK,0.01,Non-risky
5591,7228-OMTPN,1.0,High-risky
5592,5063-IUOKK,0.0,Non-risky
5593,4508-OEBEY,0.12,Non-risky
5594,0027-KWYKW,0.97,High-risky
5595,2308-STERM,0.16,Non-risky
5596,5982-XMDEX,0.0,Non-risky
5597,6284-AHOOQ,0.73,Risky
5598,6051-PTVNS,0.0,Non-risky
5599,2344-JMOGN,1.0,High-risky
5600,3799-ISUZQ,0.99,High-risky
5601,2877-VDUER,0.07,Non-risky
5602,9152-AMKAK,0.1,Non-risky
5603,1794-HBQTJ,0.95,High-risky
5604,9432-VOFYX,0.94,High-risky
5605,8049-WJCLQ,0.43,Non-risky
5606,6586-PSJOX,0.23,Non-risky
5607,2460-FPSYH,0.54,Risky
5608,9705-ZJBCG,0.06,Non-risky
5609,4818-DRBQT,0.89,High-risky
5610,1320-HTRDR,1.0,High-risky
5611,6847-KJLTS,0.75,Risky
5612,9670-BPNXF,0.12,Non-risky
5613,3913-FCUUW,0.0,Non-risky
5614,3301-VKTGC,0.0,Non-risky
5615,1493-AMTIE,0.5,Risky
5616,9555-SAHUZ,0.52,Risky
5617,0816-TSPHQ,0.06,Non-risky
5618,9932-WBWIK,0.0,Non-risky
5619,4619-EVPHY,0.51,Risky
5620,5286-YHCVC,0.02,Non-risky
5621,6424-ELEYH,1.0,High-risky
5622,4391-RESHN,0.96,High-risky
5623,9115-YQHGA,0.27,Non-risky
5624,4462-CYWMH,0.29,Non-risky
5625,8963-MQVYN,0.04,Non-risky
5626,2458-EOMRE,0.57,Risky
5627,9334-GWGOW,1.0,High-risky
5628,6821-BUXUX,1.0,High-risky
5629,5028-HTLJB,0.97,High-risky
5630,9801-GDWGV,1.0,High-risky
5631,6542-LWGXJ,0.25,Non-risky
5632,5567-GZKQY,0.0,Non-risky
5633,1222-LRYKO,0.03,Non-risky
5634,2320-JRSDE,0.53,Risky
5635,2087-QAREY,0.09,Non-risky
5636,0601-WZHJF,0.98,High-risky
5637,4423-JWZJN,0.05,Non-risky
5638,5143-WMWOG,0.62,Risky
5639,6490-FGZAT,0.03,Non-risky
5640,5393-RXQSZ,1.0,High-risky
5641,7452-FOLON,0.02,Non-risky
5642,2320-TZRRH,0.0,Non-risky
5643,0231-LXVAP,0.99,High-risky
5644,9444-JTXHZ,1.0,High-risky
5645,4942-VZZOM,0.01,Non-risky
5646,5510-BOIUJ,0.68,Risky
5647,7502-BNYGS,0.48,Non-risky
5648,4291-HYEBC,0.03,Non-risky
5649,6147-CBCRA,0.0,Non-risky
5650,6047-SUHPR,0.08,Non-risky
5651,4471-KXAUH,1.0,High-risky
5652,9752-ZNQUT,0.95,High-risky
5653,7638-QVMVY,1.0,High-risky
5654,1576-PFZIW,0.02,Non-risky
5655,5666-MBJPT,0.0,Non-risky
5656,7312-XSBAT,0.86,High-risky
5657,3096-GKWEB,0.85,High-risky
5658,2371-JQHZZ,0.9,High-risky
5659,0674-GCDXG,0.01,Non-risky
5660,1121-QSIVB,0.3,Non-risky
5661,4396-KLSEH,0.02,Non-risky
5662,3244-DCJWY,1.0,High-risky
5663,2824-MYYBN,0.93,High-risky
5664,0875-CABNR,0.99,High-risky
5665,6345-HOVES,0.61,Risky
5666,8318-LCNBW,0.1,Non-risky
5667,6469-QJKZW,0.28,Non-risky
5668,0147-ESWWR,0.91,High-risky
5669,1217-VASWC,0.6,Risky
5670,7812-FZHPE,0.07,Non-risky
5671,6370-ZVHDV,0.0,Non-risky
5672,5915-DGNVC,0.04,Non-risky
5673,6260-XLACS,0.0,Non-risky
5674,3566-CAAYU,0.01,Non-risky
5675,4983-CCWMC,0.98,High-risky
5676,9103-CXVOK,0.31,Non-risky
5677,2896-TBNBE,0.28,Non-risky
5678,4797-AXPXK,0.94,High-risky
5679,5229-PRWKT,1.0,High-risky
5680,6982-UQZLY,0.78,Risky
5681,2522-WLNSF,0.01,Non-risky
5682,3841-CONLJ,0.96,High-risky
5683,5057-LCOUI,0.47,Non-risky
5684,0193-ESZXP,0.74,Risky
5685,4475-NVTLU,0.0,Non-risky
5686,4369-HTUIF,0.86,High-risky
5687,9386-LDCZR,0.04,Non-risky
5688,9585-KKMFD,0.0,Non-risky
5689,5399-ZIMKF,1.0,High-risky
5690,0336-KXKFK,0.0,Non-risky
5691,5619-XZZKR,0.0,Non-risky
5692,3948-FVVRP,0.43,Non-risky
5693,5327-XOKKY,0.02,Non-risky
5694,0983-TATYJ,0.08,Non-risky
5695,1813-JYWTO,0.0,Non-risky
5696,0156-FVPTA,0.3,Non-risky
5697,1984-FCOWB,0.92,High-risky
5698,0654-HMSHN,0.98,High-risky
5699,6719-OXYBR,0.99,High-risky
5700,3312-ZWLGF,0.84,High-risky
5701,6476-YHMGA,0.74,Risky
5702,5287-QWLKY,0.51,Risky
5703,0795-XCCTE,0.0,Non-risky
5704,0168-XZKBB,0.97,High-risky
5705,3785-NRHYR,1.0,High-risky
5706,5196-SGOAK,1.0,High-risky
5707,4537-DKTAL,0.8,High-risky
5708,7072-MBHEV,0.99,High-risky
5709,5602-BVFMK,0.01,Non-risky
5710,6297-NOOPG,0.22,Non-risky
5711,1891-UAWWU,0.93,High-risky
5712,8204-TIFGJ,0.03,Non-risky
5713,8050-DVOJX,0.03,Non-risky
5714,6108-OQZDQ,1.0,High-risky
5715,0363-QJVFX,0.56,Risky
5716,8903-XEBGX,0.93,High-risky
5717,8169-SAEJD,0.0,Non-risky
5718,9840-DVNDC,1.0,High-risky
5719,1089-XZWHH,0.0,Non-risky
5720,2325-WINES,0.73,Risky
5721,6064-ZATLR,0.02,Non-risky
5722,3096-JRDSO,0.7,Risky
5723,7824-PANSQ,0.08,Non-risky
5724,8042-JVNFH,1.0,High-risky
5725,9648-BCHKM,0.0,Non-risky
5726,2888-ADFAO,0.0,Non-risky
5727,8707-HOEDG,0.03,Non-risky
5728,3374-LXDEV,0.94,High-risky
5729,4072-IPYLT,0.43,Non-risky
5730,7167-PCEYD,0.0,Non-risky
5731,4936-YPJNK,0.0,Non-risky
5732,1580-BMCMR,0.78,Risky
5733,4817-KEQSP,0.0,Non-risky
5734,6408-WHTEF,0.0,Non-risky
5735,9251-AWQGT,0.0,Non-risky
5736,8749-CLJXC,0.97,High-risky
5737,7989-VCQOH,0.51,Risky
5738,5049-GLYVG,0.35,Non-risky
5739,4199-QHJNM,0.04,Non-risky
5740,8882-TLVRW,0.0,Non-risky
5741,5883-GTGVD,1.0,High-risky
5742,5135-GRQJV,0.0,Non-risky
5743,2384-OVPSA,0.0,Non-risky
5744,1371-WEPDS,0.16,Non-risky
5745,3580-GICBM,0.0,Non-risky
5746,4817-QRJSX,1.0,High-risky
5747,9730-DRTMJ,0.04,Non-risky
5748,4686-UXDML,0.9,High-risky
5749,3349-ANQNH,0.78,Risky
5750,2398-YPMUR,1.0,High-risky
5751,0932-YIXYU,0.0,Non-risky
5752,7480-SPLEF,0.0,Non-risky
5753,7636-XUHWW,0.06,Non-risky
5754,1431-CYWMH,0.01,Non-risky
5755,5937-EORGB,0.94,High-risky
5756,6349-JDHQP,0.0,Non-risky
5757,5539-HIVAK,0.07,Non-risky
5758,5847-MXBEO,0.0,Non-risky
5759,9985-MWVIX,1.0,High-risky
5760,4583-PARNH,0.83,High-risky
5761,1116-FRYVH,0.0,Non-risky
5762,1421-HCERK,0.52,Risky
5763,9633-XQABV,1.0,High-risky
5764,0716-BQNDX,0.17,Non-risky
5765,1265-XTECC,0.15,Non-risky
5766,1183-CANVH,0.03,Non-risky
5767,1972-XMUWV,0.01,Non-risky
5768,8679-LZBMD,0.47,Non-risky
5769,3407-JMJQQ,0.01,Non-risky
5770,6252-DFGTK,0.06,Non-risky
5771,1539-LNKHM,0.01,Non-risky
5772,8645-KOMJQ,0.01,Non-risky
5773,0289-IVARM,0.52,Risky
5774,9761-XUJWD,0.67,Risky
5775,4057-FKCZK,0.2,Non-risky
5776,4291-TPNFG,0.0,Non-risky
5777,6087-YPWHO,0.0,Non-risky
5778,3090-QFUVD,0.39,Non-risky
5779,2237-ZFSMY,0.5,Risky
5780,1722-LDZJS,0.0,Non-risky
5781,1818-ESQMW,0.76,Risky
5782,4871-JTKJF,1.0,High-risky
5783,1415-YFWLT,0.99,High-risky
5784,7401-RUBNK,0.99,High-risky
5785,0506-YLVKJ,0.0,Non-risky
5786,8661-BOYNW,0.0,Non-risky
5787,6711-VTNRE,0.67,Risky
5788,4815-GBTCD,0.98,High-risky
5789,2805-AUFQN,0.0,Non-risky
5790,0980-PVMRC,0.56,Risky
5791,7233-DRTRF,0.9,High-risky
5792,3500-RMZLT,0.79,Risky
5793,3873-NFTGI,0.32,Non-risky
5794,1162-ECVII,0.25,Non-risky
5795,7048-GXDAY,0.9,High-risky
5796,8571-ZCMCX,0.05,Non-risky
5797,1169-WCVAK,0.24,Non-risky
5798,4548-SDBKE,1.0,High-risky
5799,8066-POXGX,1.0,High-risky
5800,7129-CAKJW,0.33,Non-risky
5801,8695-ARGXZ,0.97,High-risky
5802,3570-YUEKJ,0.35,Non-risky
5803,4143-OOBWZ,1.0,High-risky
5804,1555-HAPSU,0.0,Non-risky
5805,1697-NVVGY,0.51,Risky
5806,7854-EKTJL,0.77,Risky
5807,8464-EETCQ,0.0,Non-risky
5808,2419-FSORS,0.25,Non-risky
5809,8132-YPVBX,0.93,High-risky
5810,9102-IAYHT,0.98,High-risky
5811,6754-LZUKA,0.01,Non-risky
5812,3422-LYEPQ,1.0,High-risky
5813,8099-MZPUJ,0.2,Non-risky
5814,0787-LHDYT,0.07,Non-risky
5815,2642-DTVCO,1.0,High-risky
5816,0374-IOEGQ,0.82,High-risky
5817,4361-JEIVL,0.97,High-risky
5818,3197-NNYNB,0.08,Non-risky
5819,3396-DKDEL,0.0,Non-risky
5820,1752-OZXFY,0.06,Non-risky
5821,9066-QRSDU,0.0,Non-risky
5822,9112-WSNPU,0.82,High-risky
5823,9867-NNXLC,0.0,Non-risky
5824,5321-NTRKC,0.03,Non-risky
5825,1363-TXLSL,1.0,High-risky
5826,9507-EXLTT,1.0,High-risky
5827,3161-GETRM,0.74,Risky
5828,0402-OAMEN,0.0,Non-risky
5829,6933-VLYFX,0.05,Non-risky
5830,6754-WKSHP,0.01,Non-risky
5831,9846-GKXAS,1.0,High-risky
5832,6017-PPLPX,0.96,High-risky
5833,4976-LNFVV,0.83,High-risky
5834,5055-MGMGF,0.18,Non-risky
5835,4641-FROLU,0.0,Non-risky
5836,2862-JVEOY,0.0,Non-risky
5837,2969-QWUBZ,0.93,High-risky
5838,9822-BIIGN,0.14,Non-risky
5839,2077-MPJQO,1.0,High-risky
5840,1534-OULXE,0.0,Non-risky
5841,7136-RVDTZ,0.83,High-risky
5842,2971-SGAFL,0.84,High-risky
5843,1480-IVEVR,0.35,Non-risky
5844,2905-KFQUV,1.0,High-risky
5845,4581-SSPWD,1.0,High-risky
5846,3370-HXOPH,1.0,High-risky
5847,9391-YZEJW,0.53,Risky
5848,9958-MEKUC,0.0,Non-risky
5849,0281-CNTZX,0.0,Non-risky
5850,6927-WTFIV,0.66,Risky
5851,4118-CEVPF,0.35,Non-risky
5852,3398-ZOUAA,0.89,High-risky
5853,9114-VEPUF,0.22,Non-risky
5854,7876-BEUTG,0.65,Risky
5855,2338-BQEZT,0.15,Non-risky
5856,9873-MNDKV,0.77,Risky
5857,0378-NHQXU,0.97,High-risky
5858,8241-JUIQO,0.01,Non-risky
5859,2194-IIQOF,0.0,Non-risky
5860,4512-ZUIYL,1.0,High-risky
5861,9631-RXVJM,0.0,Non-risky
5862,9584-EXCDZ,0.81,High-risky
5863,7969-AULMZ,0.95,High-risky
5864,5093-FEGLU,0.0,Non-risky
5865,2621-UDNLU,0.02,Non-risky
5866,7526-IVLYU,0.05,Non-risky
5867,2428-HYUNX,0.0,Non-risky
5868,9214-EKVXR,0.99,High-risky
5869,3410-MHHUM,0.27,Non-risky
5870,0568-ONFPC,0.17,Non-risky
5871,0733-VUNUW,0.71,Risky
5872,4550-EVXNY,1.0,High-risky
5873,2122-YWVYA,0.95,High-risky
5874,2968-SSGAA,1.0,High-risky
5875,2296-DKZFP,0.0,Non-risky
5876,4844-JJWUY,1.0,High-risky
5877,6777-TGHTM,0.92,High-risky
5878,8909-BOLNL,0.0,Non-risky
5879,6603-YRDCJ,0.01,Non-risky
5880,3538-WZPHD,1.0,High-risky
5881,3229-USWAR,0.25,Non-risky
5882,2138-VFAPZ,0.0,Non-risky
5883,6131-JLWZM,0.04,Non-risky
5884,4785-QRJHC,0.07,Non-risky
5885,0269-XFESX,0.0,Non-risky
5886,1709-EJDOX,0.0,Non-risky
5887,4316-XCSLJ,0.43,Non-risky
5888,8610-WFCJF,0.91,High-risky
5889,9693-XMUOB,0.55,Risky
5890,0383-CLDDA,0.03,Non-risky
5891,4905-JEFDW,0.81,High-risky
5892,2709-UQGNP,0.69,Risky
5893,3549-ZTMNH,0.02,Non-risky
5894,7881-INRLC,1.0,High-risky
5895,8033-ATFAS,0.22,Non-risky
5896,1635-NZATJ,0.0,Non-risky
5897,0562-HKHML,0.0,Non-risky
5898,8277-RVRSV,0.0,Non-risky
5899,9943-VSZUV,0.34,Non-risky
5900,0117-LFRMW,0.42,Non-risky
5901,6172-FECYY,0.92,High-risky
5902,7054-ENNGU,0.31,Non-risky
5903,1455-HFBXA,0.0,Non-risky
5904,9402-CXWPL,0.52,Risky
5905,1628-BIZYP,1.0,High-risky
5906,1965-AKTSX,1.0,High-risky
5907,0082-LDZUE,0.99,High-risky
5908,4786-UKSNZ,0.98,High-risky
5909,5343-SGUBI,0.37,Non-risky
5910,0856-NAOES,0.72,Risky
5911,1976-AZZPJ,0.44,Non-risky
5912,7248-VZQLC,0.91,High-risky
5913,6156-UZDLF,0.21,Non-risky
5914,3099-OONVS,0.1,Non-risky
5915,9500-WBGRP,0.0,Non-risky
5916,5183-KLYEM,0.02,Non-risky
5917,5144-PQCDZ,0.0,Non-risky
5918,8514-VZHEB,0.0,Non-risky
5919,6625-IUTTT,0.03,Non-risky
5920,9355-NPPFS,0.21,Non-risky
5921,0068-FIGTF,0.33,Non-risky
5922,5965-GGPRW,0.0,Non-risky
5923,8035-PWSEV,0.99,High-risky
5924,2236-HILPA,0.0,Non-risky
5925,1840-BIUOG,0.22,Non-risky
5926,1356-MKYSK,0.69,Risky
5927,6080-LNESI,0.0,Non-risky
5928,1830-IPXVJ,0.0,Non-risky
5929,5828-DWPIL,0.12,Non-risky
5930,8398-TBIYD,0.03,Non-risky
5931,0011-IGKFF,1.0,High-risky
5932,4192-GORJT,1.0,High-risky
5933,6496-SLWHQ,1.0,High-risky
5934,9912-GVSEQ,1.0,High-risky
5935,2931-FSOHN,0.19,Non-risky
5936,9418-RUKPH,0.0,Non-risky
5937,5383-MMTWC,1.0,High-risky
5938,9971-ZWPBF,0.19,Non-risky
5939,4712-AUQZO,0.29,Non-risky
5940,9711-FJTBX,0.1,Non-risky
5941,2908-ZTPNF,0.09,Non-risky
5942,7240-ETPTR,1.0,High-risky
5943,2202-CUYXZ,1.0,High-risky
5944,5995-OIGLP,0.75,Risky
5945,8421-WZOOW,0.13,Non-risky
5946,6261-RCVNS,0.7,Risky
5947,7951-QKZPL,0.0,Non-risky
5948,1414-YADCW,0.0,Non-risky
5949,8756-RDDLT,0.1,Non-risky
5950,2862-PFNIK,0.97,High-risky
5951,5816-QVHRX,0.97,High-risky
5952,4430-YHXGG,0.05,Non-risky
5953,6888-SBYAI,0.85,High-risky
5954,7395-XWZOY,0.46,Non-risky
5955,7169-YWAMK,0.0,Non-risky
5956,3640-PHQXK,0.98,High-risky
5957,6877-LGWXO,0.92,High-risky
5958,6859-RKMZJ,0.66,Risky
5959,2729-VNVAP,0.0,Non-risky
5960,2957-JIRMN,0.47,Non-risky
5961,2049-BAFNW,0.58,Risky
5962,3842-QTGDL,0.84,High-risky
5963,7163-OCEQI,0.2,Non-risky
5964,9782-LGXMC,0.15,Non-risky
5965,5975-BAICR,0.01,Non-risky
5966,8019-ENHXU,0.89,High-risky
5967,5167-GBFRE,0.86,High-risky
5968,9033-EOXWV,0.49,Non-risky
5969,4673-KKSLS,0.11,Non-risky
5970,4853-OITSN,0.25,Non-risky
5971,9800-OUIGR,0.0,Non-risky
5972,1324-NLTJE,0.89,High-risky
5973,2324-EFHVG,0.09,Non-risky
5974,7094-MSZAO,0.04,Non-risky
5975,1522-VVDMG,0.92,High-risky
5976,6907-CQGPN,0.12,Non-risky
5977,0780-XNZFN,0.0,Non-risky
5978,0239-OXEXL,0.17,Non-risky
5979,2675-IJRGJ,0.0,Non-risky
5980,7049-GKVZY,0.25,Non-risky
5981,8577-QSOCG,0.0,Non-risky
5982,3721-CNZHX,0.0,Non-risky
5983,0212-ISBBF,0.62,Risky
5984,9185-TQCVP,1.0,High-risky
5985,3585-YNADK,0.01,Non-risky
5986,5271-DBYSJ,1.0,High-risky
5987,1099-GODLO,0.18,Non-risky
5988,6828-HMKWP,0.01,Non-risky
5989,5567-WSELE,1.0,High-risky
5990,1472-TNCWL,0.69,Risky
5991,8063-RJYNF,1.0,High-risky
5992,0687-ZVTHB,0.03,Non-risky
5993,2080-GKCWQ,1.0,High-risky
5994,9661-ACXBS,0.97,High-risky
5995,2193-SFWQW,0.0,Non-risky
5996,5656-JAMLX,0.0,Non-risky
5997,3462-BJQQA,1.0,High-risky
5998,0442-TDYUO,0.0,Non-risky
5999,6733-LRIZX,0.38,Non-risky
6000,9503-XJUME,0.0,Non-risky
6001,4367-NHWMM,0.97,High-risky
6002,3727-RJMEO,1.0,High-risky
6003,3779-OSWCF,0.0,Non-risky
6004,6736-DHUQI,0.02,Non-risky
6005,3915-ODIYG,0.09,Non-risky
6006,1360-RCYRT,0.12,Non-risky
6007,2724-FJDYW,0.07,Non-risky
6008,4451-RWASJ,0.01,Non-risky
6009,6646-VRFOL,0.99,High-risky
6010,3460-TJBWI,0.0,Non-risky
6011,5917-HBSDW,0.0,Non-risky
6012,5685-IIXLY,1.0,High-risky
6013,5671-UUNXD,0.5,Risky
6014,0956-ACVZC,0.4,Non-risky
6015,2325-NBPZG,1.0,High-risky
6016,4250-ZBWLV,0.96,High-risky
6017,4482-FTFFX,0.75,Risky
6018,8859-DZTGQ,0.0,Non-risky
6019,0440-MOGPM,0.14,Non-risky
6020,0020-JDNXP,0.02,Non-risky
6021,3752-CQSJI,0.05,Non-risky
6022,5025-GOOKI,0.02,Non-risky
6023,4698-KVLLG,0.0,Non-risky
6024,5095-AESKG,1.0,High-risky
6025,2887-JPYLU,0.22,Non-risky
6026,4770-QAZXN,0.56,Risky
6027,4896-CPRPF,0.0,Non-risky
6028,1871-MOWRM,0.78,Risky
6029,9714-EDSUC,0.71,Risky
6030,2027-OAQQC,0.43,Non-risky
6031,0282-NVSJS,0.56,Risky
6032,9090-SGQXL,0.95,High-risky
6033,6595-YGXIT,1.0,High-risky
6034,7353-YOWFP,0.0,Non-risky
6035,9835-ZIITK,0.58,Risky
6036,8008-ESFLK,0.25,Non-risky
6037,7537-CBQUZ,0.3,Non-risky
6038,1555-DJEQW,0.0,Non-risky
6039,5649-TJHOV,0.72,Risky
6040,0519-XUZJU,1.0,High-risky
6041,3363-EWLGO,0.03,Non-risky
6042,4750-UKWJK,0.0,Non-risky
6043,6338-AVWCY,0.97,High-risky
6044,1689-YQBYY,1.0,High-risky
6045,4487-ZYJZK,0.0,Non-risky
6046,2959-FENLU,1.0,High-risky
6047,0708-LGSMF,0.65,Risky
6048,9253-QXKBE,1.0,High-risky
6049,7634-HLQJR,0.0,Non-risky
6050,0487-RPVUM,0.08,Non-risky
6051,4079-ULGFR,0.01,Non-risky
6052,2516-XSJKX,0.09,Non-risky
6053,0057-QBUQH,0.03,Non-risky
6054,9445-SZLCH,0.87,High-risky
6055,6599-SFQVE,0.89,High-risky
6056,8331-ZXFOE,0.0,Non-risky
6057,4003-FUSHP,0.76,Risky
6058,0356-ERHVT,0.73,Risky
6059,7325-ENZFI,0.04,Non-risky
6060,4884-ZTHVF,1.0,High-risky
6061,3920-HIHMQ,0.05,Non-risky
6062,3055-OYMSE,0.66,Risky
6063,0613-WUXUM,0.0,Non-risky
6064,7568-PODML,0.97,High-risky
6065,4458-KVRBJ,0.0,Non-risky
6066,5349-IECLD,1.0,High-risky
6067,1397-XKKWR,0.12,Non-risky
6068,3945-GFWQL,0.94,High-risky
6069,8097-OMULG,0.01,Non-risky
6070,6013-BHCAW,0.0,Non-risky
6071,0401-WDBXM,0.0,Non-risky
6072,3387-PLKUI,0.02,Non-risky
6073,6096-EGVTU,0.0,Non-risky
6074,3797-VTIDR,0.97,High-risky
6075,5081-NWSUP,0.4,Non-risky
6076,2580-ATZSQ,0.02,Non-risky
6077,8085-MSNLK,0.02,Non-risky
6078,9691-HKOVS,0.1,Non-risky
6079,9881-VCZEP,0.13,Non-risky
6080,9526-BIHHD,0.51,Risky
6081,8757-TFHHJ,0.79,Risky
6082,4523-WXCEF,0.91,High-risky
6083,1468-DEFNC,0.0,Non-risky
6084,5119-KEPFY,0.76,Risky
6085,8364-TRMMK,1.0,High-risky
6086,0916-KNFAJ,0.0,Non-risky
6087,8319-QBEHW,0.05,Non-risky
6088,3063-QFSZL,1.0,High-risky
6089,8775-LHDJH,1.0,High-risky
6090,9625-QNLUX,0.0,Non-risky
6091,3097-NQYSN,0.98,High-risky
6092,4024-CSNBY,0.0,Non-risky
6093,7110-BDTWG,0.05,Non-risky
6094,7493-GVFIO,0.0,Non-risky
6095,0690-SRQID,0.05,Non-risky
6096,9605-WGJVW,1.0,High-risky
6097,9114-DPSIA,0.0,Non-risky
6098,4700-UBQMV,0.08,Non-risky
6099,7711-GQBZC,0.0,Non-risky
6100,3565-UNOCC,0.94,High-risky
6101,4627-MIHJH,0.35,Non-risky
6102,9795-NREXC,0.01,Non-risky
6103,8573-CGOCC,0.04,Non-risky
6104,7356-AYNJP,0.01,Non-risky
6105,9249-FXSCK,0.94,High-risky
6106,5493-SDRDQ,0.74,Risky
6107,6286-SUUWT,0.93,High-risky
6108,4819-HJPIW,0.12,Non-risky
6109,8654-DHAOW,0.92,High-risky
6110,5438-QMDDL,0.5,Risky
6111,9812-GHVRI,0.85,High-risky
6112,5553-AOINX,0.73,Risky
6113,1228-ZLNBX,0.76,Risky
6114,4226-KKDON,0.69,Risky
6115,3831-YCPUO,0.01,Non-risky
6116,7445-WMRBW,0.05,Non-risky
6117,3308-DGHKL,0.0,Non-risky
6118,9924-JPRMC,0.03,Non-risky
6119,0080-EMYVY,0.18,Non-risky
6120,6218-KNUBD,0.26,Non-risky
6121,7337-CINUD,0.05,Non-risky
6122,7609-NRNCA,0.0,Non-risky
6123,0623-EJQEG,0.17,Non-risky
6124,7153-CHRBV,0.02,Non-risky
6125,0871-URUWO,0.99,High-risky
6126,9190-MFJLN,0.95,High-risky
6127,6198-PNNSZ,0.84,High-risky
6128,3317-VLGQT,0.99,High-risky
6129,4132-POCZS,0.26,Non-risky
6130,5614-DNZCE,0.01,Non-risky
6131,1095-JUDTC,0.57,Risky
6132,3896-RCYYE,0.21,Non-risky
6133,9638-JIQYA,0.83,High-risky
6134,3258-SANFR,0.93,High-risky
6135,3726-TBHQT,0.0,Non-risky
6136,3190-ITQXP,0.0,Non-risky
6137,0870-VEMYL,0.97,High-risky
6138,4833-QTJNO,0.1,Non-risky
6139,3039-MJSLN,0.19,Non-risky
6140,0178-CIIKR,0.03,Non-risky
6141,5385-SUIRI,0.93,High-risky
6142,3982-XWFZQ,0.28,Non-risky
6143,5774-QPLTF,0.0,Non-risky
6144,2322-VCZHZ,0.69,Risky
